genotype,file,behavior,start_time,duration
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,10.4,1.167
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,11.7,1.033
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,49.433,3.8
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,67.933,2.967
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,88.867,2.09999999999999
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,91,0.299999999999997
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,91.333,0.733999999999995
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,119.067,0.433000000000007
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,119.533,0.933999999999997
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,120.5,1
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,161.867,1.233
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,182.3,2.06699999999998
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,198.533,6.5
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,205.567,0.532999999999987
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,211.933,2.667
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,226.5,2.90000000000001
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,251.9,3.767
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,271.4,1.767
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,280.2,1.733
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,281.967,1.36600000000004
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,283.367,1.5
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,284.9,0.967000000000041
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,class_all_grooming,285.9,2.06700000000001
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,head,91,0.299999999999997
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,head,280.2,1.733
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,head,283.367,1.5
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,head,285.9,2.06700000000001
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,10.4,1.167
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,11.7,1.033
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,49.433,3.8
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,67.933,2.967
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,88.867,2.09999999999999
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,91.333,0.733999999999995
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,119.067,0.433000000000007
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,119.533,0.933999999999997
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,120.5,1
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,161.867,1.233
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,182.3,2.06699999999998
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,198.533,6.5
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,205.567,0.532999999999987
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,226.5,2.90000000000001
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,251.9,3.767
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,271.4,1.767
All_SocIso_SH,EH250416_SocIso_1_Ch2_MRC.xlsx,rubbing,281.967,1.36600000000004
